59,3
67,26
34,53
17,34
77,92
18,54
79,97
81,2
22,24
61,6
42,87
97,53
26,47
26,33
70,92
37,100
27,20
100,29
90,32
85,83
31,7
58,98
14,32
45,96
1,15
40,56
94,39
30,3
41,55
24,83
77,7
14,77
71,34
61,34
95,34
23,70
11,97
71,62
52,35
79,17
79,57
45,86
98,24
97,48
3,74
57,42
1,79
82,66
52,28
19,21
6,72
37,27
17,99
42,53
79,18
59,55
33,1
92,100
49,95
79,96
30,45
26,59
58,78
30,79
26,35
73,84
78,20
51,64
45,31
53,20
22,29
73,36
81,79
78,95
31,90
71,96
28,75
6,37
39,55
99,17
45,50
20,57
20,47
55,71
39,84
10,91
39,36
52,91
4,68
22,59
50,22
71,54
31,69
25,9
93,97
30,30
70,82
50,17
64,85
72,50
16,27
9,2
74,55
78,8
58,95
96,36
75,15
25,100
58,34
43,99
7,5
34,4
71,6
25,63
53,34
53,63
34,7
52,44
40,34
57,51
88,33
1,65
28,1
22,93
64,58
49,91
94,60
45,34
25,6
16,12
19,14
71,77
50,61
65,62
13,21
85,49
36,73
20,63
17,11
2,49
59,98
14,80
93,76
21,68
33,39
64,83
99,36
62,8
28,76
55,15
44,31
24,60
88,87
49,29
82,67
73,8
42,29
94,18
65,18
76,10
61,56
96,90
37,86
5,84
61,64
71,72
37,54
4,58
26,80
96,68
69,80
78,19
89,24
22,11
93,70
98,28
95,18
20,11
68,31
97,70
7,70
56,37
2,64
14,26
71,7
82,56
21,89
19,40
88,90
69,41
46,27
73,26
45,16
20,2
97,18
27,20
51,13
50,69
4,66
50,96
68,65
42,84
4,16
42,49
79,71
47,57
96,27
63,17
9,30
36,9
3,60
80,28
14,50
89,9
69,49
52,88
76,21
76,14
94,7
75,5
41,76
56,86
74,45
5,8
41,49
85,62
86,22
11,53
38,20
5,57
61,55
56,78
90,20
17,27
4,87
28,84
36,12
97,1
56,96
31,99
91,60
78,9
4,66
75,59
81,27
63,72
11,45
29,91
76,97
27,18
10,52
83,22
51,92
85,22
87,50
21,86
37,88
76,3
78,81
95,66
81,88
58,99
96,51
32,66
80,40
40,69
75,74
14,3
98,7
92,76
63,41
10,17
85,64
74,28
15,95
36,71
76,67
91,38
91,60
41,74
8,34
96,44
83,53
94,96
53,9
71,28
71,51
72,76
18,8
52,40
81,84
94,28
88,86
20,28
41,86
63,41
75,94
93,69
59,17
74,99
12,31
61,26
83,34
89,100
15,9
42,34
32,64
72,3
91,75
27,78
94,28
20,6
68,76
93,78
35,74
1,42
40,41
98,21
97,59
14,72
70,42
48,51
85,18
8,31
59,26
8,68
1,29
46,78
1,29
12,20
30,23
58,36
19,37
82,2
98,98
74,23
18,40
59,30
3,84
76,44
18,14
85,29
46,83
86,99
5,81
44,90
65,54
2,61
10,5
50,1
68,47
54,31
23,18
38,61
95,84
13,22
19,7
44,70
78,24
44,83
84,58
55,97
35,5
69,41
49,45
65,57
83,13
19,44
72,84
22,97
21,56
54,97
17,38
96,59
16,77
67,28
94,50
12,77
69,66
58,85
68,92
11,15
50,2
75,44
83,11
1,5
60,10
97,26
38,26
94,15
77,39
61,48
30,37
31,33
6,51
15,51
40,86
60,23
66,85
74,92
7,94
81,63
96,23
28,27
13,63
100,99
9,68
16,18
10,30
21,66
47,85
26,65
99,88
21,20
98,25
54,57
52,58
14,24
6,91
20,98
90,42
44,19
7,45
25,63
97,77
33,43
83,36
64,22
50,69
25,67
19,80
97,26
58,26
78,63
66,34
49,10
89,90
33,82
32,13
59,33
71,15
11,62
91,64
41,14
38,65
57,67
93,88
64,7
33,71
47,73
7,84
31,19
49,64
56,5
7,82
32,41
100,51
47,25
3,37
68,45
5,93
51,98
15,74
79,48
97,12
4,30
6,21
21,90
8,47
88,43
73,43
86,84
92,78
42,84
13,91
30,55
20,96
97,1
57,15
26,69
26,81
81,26
50,73
96,29
21,92
85,46
73,16
98,65
67,83
67,53
88,98
47,41
40,95
98,3
76,1
20,86
16,63
19,88
8,92
40,54
84,78
83,48
91,16
24,60
49,38
22,53
14,77
67,90
35,5
47,6
12,21
22,72
3,93
25,8
63,77
53,91
17,21
43,1
17,29
91,81
67,20
64,63
15,18
34,53
63,31
15,31
8,82
44,38
31,7
27,12
12,30
39,30
72,78
40,10
21,17
57,96
55,24
24,33
41,87
59,80
90,64
26,42
68,14
30,68
37,34
54,38
66,1
49,6
1,16
98,35
7,45
100,18
82,7
34,64
33,10
36,2
74,56
32,86
85,4
39,70
91,82
72,51
66,67
52,27
76,35
81,40
28,57
21,29
52,20
50,48
17,73
27,28
37,8
54,55
63,7
9,68
98,85
8,26
71,17
24,94
2,40
70,92
59,5
39,11
69,24
93,52
53,57
48,68
5,75
67,55
49,61
54,38
2,85
99,8
34,1
45,1
5,15
40,92
1,21
48,55
74,41
26,5
84,54
21,92
29,26
71,100
68,96
11,49
4,18
7,93
11,36
86,42
26,54
43,75
2,65
2,93
9,42
49,46
39,88
4,14
24,100
86,23
67,70
7,71
74,99
54,88
17,94
44,84
97,8
24,42
81,5
82,45
43,16
31,32
61,87
70,96
8,37
5,19
55,97
40,50
97,44
67,94
60,74
7,7
50,14
94,93
86,44
32,48
29,37
71,67
23,63
55,93
32,74
43,69
59,38
60,61
54,14
87,63
5,22
39,63
26,42
45,3
14,96
12,32
65,89
29,31
52,75
83,58
32,54
12,81
28,49
36,60
67,24
96,18
40,33
23,36
59,48
73,77
89,96
1,15
44,15
37,23
29,25
37,49
100,58
53,11
37,38
8,64
58,31
73,28
64,42
45,39
26,18
23,31
22,19
96,56
11,15
56,28
77,7
55,31
99,97
17,62
15,77
71,51
9,42
86,72
18,55
11,98
56,87
66,5
82,34
13,35
48,6
77,85
53,15
47,97
95,23
12,18
2,18
18,71
82,1
84,4
5,18
78,35
87,32
34,18
76,49
32,68
25,95
40,63
73,95
57,14
51,17
22,25
28,20
94,14
51,41
26,18
34,76
62,77
80,7
96,26
16,25
56,19
73,10
45,14
64,92
11,2
35,66
56,97
100,41
4,86
42,61
96,66
64,65
42,72
100,96
83,59
36,40
3,9
83,96
69,17
34,78
71,49
63,47
89,47
24,19
51,42
65,30
74,29
76,2
75,28
97,90
55,71
25,50
19,65
65,16
91,13
16,25
2,79
99,79
89,22
9,76
82,26
30,3
77,71
33,49
77,58
73,21
32,42
54,97
64,82
81,63
68,14
38,49
92,73
67,98
17,75
94,18
72,35
4,32
4,4
28,34
24,48
86,85
91,2
25,60
80,10
13,32
6,15
67,38
81,2
95,85
28,86
63,58
18,15
74,70
71,59
12,99
76,36
62,84
99,77
38,43
78,8
72,12
99,33
20,84
45,41
35,79
38,66
41,76
100,96
34,72
87,93
74,31
12,9
4,3
56,91
86,65
1,73
54,18
14,28
64,75
79,20
7,37
51,16
60,52
29,57
59,7
11,1
81,45
49,3
47,72
67,10
36,8
18,31
58,58
24,32
15,26
8,38
20,26
32,24
59,50
3,74
57,2
15,33
78,99
59,46
49,46
75,8
21,22
80,72
22,89
100,84
43,23
76,60
80,75
68,1
71,2
80,63
15,89
79,95
13,47
74,74
9,22
88,81
13,72
25,30
25,98
14,36
17,4
62,44
56,90
47,68
27,24
45,84
11,57
28,67
1,83
93,16
50,79
58,63
83,38
75,99
27,34
26,61
44,6
100,47
92,98
45,28
8,51
69,54
76,42
49,62
18,61
34,30
10,49
38,60
15,93
95,66
8,60
45,83
81,45
88,6
29,40
79,43
57,69
54,71
74,18
82,36
53,82
11,22
56,85
7,20
62,43
41,68
92,44
25,14
19,25
35,88
21,3
52,35
27,24
58,97
29,39
11,36
2,38
37,63
52,59
89,32
80,48
61,67
35,51
33,45
76,58
76,89
57,40
33,100
74,6
74,99
77,77
73,28
4,65
91,37
2,9
52,16
72,10
10,100
89,96
54,69
84,28
41,81
86,33
12,15
56,77
22,89
2,7
43,81
64,19
43,92
42,45
29,64
